Id,JobTitle,Company,Location,Salary,TypeofJob,Description,Require,MoreInfo
36,"Developer (Flutter, .NET Core, ReactJS)",Công ty Cổ Phần Thế Giới Di Động,"Thành phố Thủ Đức, Hồ Chí Minh","800 - 1,800 USD","Thương mại điện tử/ Bán lẻ, Bán lẻ",Welcome all talented Software Developers to JOIN IN the newest project of MWG!,"REST API, Front-End, Back-End, ReactJS, .NET Core, Flutter, ASP.NET Core, Mobile",https://topdev.vn/viec-lam/developer-flutter-net-core-reactjs-cong-ty-co-phan-the-gioi-di-dong-2026936
37,Project Manager/Business Analyst (English),BrickMate Group,"Quận 10, Hồ Chí Minh",Thương lượng,"Phần Mềm, Outsourcing, Product","Top 3 Reasons To Join Us Competitive salary  Opportunity to work with big Korean companies such as Lotte, Kumho, LG, etc. Project Incentive & Bir...","Project Manager, Business Analyst",https://topdev.vn/viec-lam/project-manager-business-analyst-english-brickmate-group-2026937
38,"Tester (QA/ QC) - Up to $1,200",Seal Commerce,"Quận Thanh Xuân, Hà Nội","700 - 1,200 USD",Phần Mềm,We are looking for 2 Middle Testers to assess software quality through Manual Testing for Ecommerce Domain. You will be responsible for ensuring that...,"UI/UX, QA, QC, Tester, Mobile, Manual Test",https://topdev.vn/viec-lam/tester-qa-qc-up-to-1-200-seal-commerce-2026938
39,DevOps Engineer,Công Ty TNHH Groot,"Quận Bình Thạnh, Hồ Chí Minh","1,000 - 1,200 USD",Phần Mềm,,"Linux, Redis, MariaDB, Docker, Unix, Ansible, Kafka",https://topdev.vn/viec-lam/devops-engineer-cong-ty-tnhh-groot-2026939
40,Back-end Engineer (Golang/ Python/ NodeJS/ Java/ PHP/ .NET),Ahamove,"Quận 10, Hồ Chí Minh","1,500 - 2,000 USD",Product,"Why it would be awesome to work with us National champion: Joining the on-demand delivery platform in Vietnam, you have to apply the newest technol...","Java, PHP, Python, NodeJS, .NET, Golang, Back-End",https://topdev.vn/viec-lam/back-end-engineer-golang-python-nodejs-java-php-net-ahamove-2026942
41,Team leader PHP Developer từ 35M ~ 40M,FIBO,"Quận Tân Phú, Hồ Chí Minh","35,000,000 - 40,000,000 VND","Product, Viễn Thông, Công nghệ thông tin",,"PHP, CSS, JavaScript, C#, MySQL, NodeJS",https://topdev.vn/viec-lam/team-leader-php-developer-tu-35m-40m-fibo-2026941
42,Scrum Master,YODY Fashion,"Quận Thanh Xuân, Hà Nội - Thành phố Hải Dương, Hải Dương","18,000,000 - 35,000,000 VND",Thương mại điện tử/ Bán lẻ,"Với tầm nhìn trở thành Công ty thời trang số 1 Việt Nam, IPO vào năm 2025, YODY chiêu mộ anh em Công nghệ thông tin về YODY FASHION TECH với chủ đề CẤ...","Scrum, Agile & Scrum, Scrum Master",https://topdev.vn/viec-lam/scrum-master-yody-fashion-2026943
43,"[Junior or Senior] IT Developer (C,C++,pro-c,iOS)",Shinhan Securities,"Quận 3, Hồ Chí Minh",Thương lượng,Chứng khoán,"Team   ICT Department   ICT Division   Digital & ICT Work Location   Ho Chi Minh We need 3 persons [Junior or Senior] IT Developer (C,C++,pro-c,...","iOS, Oracle, C++, Mobile, Web, Database",https://topdev.vn/viec-lam/junior-or-senior-it-developer-c-c-pro-c-ios-shinhan-securities-2026945
44,Lập Trình Viên PHP,South Telecom,"Quận 3, Hồ Chí Minh - Quận Đống Đa, Hà Nội","9,000,000 - 25,000,000 VND","Dịch vụ IT, Internet",Đối với ứng viên mới ra trường: Mức lương cơ bản từ 9.000.000 VNĐ trở lên và được hỗ trợ training. Đối với ứng viên có kinh nghiệm từ 1 năm trở lên...,"PHP, JavaScript",https://topdev.vn/viec-lam/lap-trinh-vien-php-south-telecom-2026944
45,[ALL LEVELS] JAVA DEVELOPER,"CyberLogitec Vietnam Co., Ltd.","Quận Tân Bình, Hồ Chí Minh",Thương lượng,Phần Mềm,,"Java, JavaScript, Spring",https://topdev.vn/viec-lam/all-levels-java-developer-cyberlogitec-vietnam-co-ltd-2026978
46,"Front-end Engineer (JavaScript, HTML, CSS)",Cho Tot,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Are you a Front-End Software Engineer who finds building great UI simply irresistible? If yes, this role is for you! We’re looking for dynamic talent...","CSS, JavaScript, HTML, Front-End",https://topdev.vn/viec-lam/front-end-engineer-javascript-html-css-cho-tot-2026981
47,[HN] Software Engineer (Fresher/Junior),Công ty cổ phần Base Enterprise,"Quận Thanh Xuân, Hà Nội",Thương lượng,B2B Services,,"HTML5, MySQL, JSON, CSS3, REST API, JavaScript, JQuery, Ajax",https://topdev.vn/viec-lam/hn-software-engineer-fresher-junior-cong-ty-co-phan-base-enterprise-2026946
48,Back-end Engineer (Golang),Cho Tot,"Quận 1, Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,Cho Tot team is expanding to continuously innovate our marketplace ecosystem to better serve Vietnamese via advance technology. We are looking for tal...,"Golang, Back-End",https://topdev.vn/viec-lam/back-end-engineer-golang-cho-tot-2026982
